name,lat,lon,category
condo0,1.34459023124875,103.8789274989,condo
condo1,1.27728558824322,103.793122156661,condo
condo2,1.31327502508264,103.798544391395,condo
condo3,1.37871453246915,103.903125576064,condo
condo4,1.36790432910871,103.8683366038,condo
condo5,1.36160690195093,103.890029372368,condo
condo6,1.31325209714281,103.842968064456,condo
condo7,1.27649447910994,103.830542939595,condo
condo8,1.32172074181357,103.812044320123,condo
condo9,1.35039657607709,103.880230544693,condo
condo10,1.32462194319897,103.849957588255,condo
condo11,1.2956665859268,103.82885975081,condo
condo12,1.3169119711607,103.826733455519,condo
condo13,1.27866845329676,103.787767087156,condo
condo14,1.31819899592367,103.848906082215,condo
condo15,1.3139838637399,103.91444563651,condo
condo16,1.31968768006034,103.752699363733,condo
condo17,1.32235926711929,103.954741499799,condo
condo18,1.29394858976016,103.868070044794,condo
condo19,1.3160878054443,103.946112888683,condo
condo20,1.27661641863168,103.857175083123,condo
condo21,1.37007517956729,103.827677980584,condo
condo22,1.44312698059643,103.827121479812,condo
condo23,1.31473143131445,103.906909758761,condo
condo24,1.29886131925695,103.898522862752,condo
condo25,1.30474390810361,103.784846499322,condo
condo26,1.3123178474915,103.883532317959,condo
condo27,1.35639824853602,103.96773406082,condo
condo28,1.3155408286545,103.818699963699,condo
condo29,1.32791217152286,103.863187561929,condo
condo30,1.32816257852966,103.908443327003,condo
condo31,1.30137638010264,103.898166752118,condo
condo32,1.29595825548386,103.82671548586,condo
condo33,1.31251589201217,103.899013307424,condo
condo34,1.33881019635958,103.883036330141,condo
condo35,1.31138841261308,103.832182029022,condo
condo36,1.39595291069106,103.8815041411,condo
condo37,1.32242172407521,103.848172032797,condo
condo38,1.36396358971437,103.880587133601,condo
condo39,1.32423340916268,103.864556003087,condo
condo40,1.2908847377725,103.774319608719,condo
condo41,1.35435133753441,103.866734472157,condo
condo42,1.35590905178528,103.76073531599,condo
condo43,1.30400047956478,103.839592987726,condo
condo44,1.34710741271184,103.879975620168,condo
condo45,1.36737131442731,103.890223540921,condo
condo46,1.2990925168201,103.886394172271,condo
condo47,1.3022955707661,103.789208241219,condo
condo48,1.32716989679005,103.849435590944,condo
condo49,1.28156004152174,103.785709595421,condo
condo50,1.36560719087225,103.77211278179,condo
condo51,1.27389076775628,103.807900337544,condo
condo52,1.29823105071511,103.842169287766,condo
condo53,1.32672666436714,103.84968009627,condo
condo54,1.29538639198638,103.835849138309,condo
condo55,1.31118326203664,103.830851088307,condo
condo56,1.24174861334108,103.838842278019,condo
condo57,1.31318382679314,103.886469505104,condo
condo58,1.3174353531319,103.910838016448,condo
condo59,1.32394848458334,103.912668070911,condo
condo60,1.35595584509131,103.761669162181,condo
condo61,1.31602164556244,103.94567558931,condo
condo62,1.30741535240087,103.83971731014,condo
condo63,1.28264736511971,103.783023154032,condo
condo64,1.31583675363618,103.892746648427,condo
condo65,1.31642525645375,103.904810533859,condo
condo66,1.32005187342709,103.852519734445,condo
condo67,1.32840203522441,103.90860634862,condo
condo68,1.29520286174263,103.836921549212,condo
condo69,1.31360187547893,103.91220370573,condo
condo70,1.40401019766297,103.817509968397,condo
condo71,1.31388177226647,103.883274426427,condo
condo72,1.30378097367831,103.905465982943,condo
condo73,1.3107158736674,103.91510862562,condo
condo74,1.31591931917753,103.942303036419,condo
condo75,1.34201272078881,103.683312109507,condo
condo76,1.31107092788673,103.892415269833,condo
condo77,1.39175181491889,103.904254875951,condo
condo78,1.28053749822744,103.788534128918,condo
condo79,1.35845380457902,103.767487304038,condo
condo80,1.2998091733077,103.846962853661,condo
